Id_elec-mix-bar,Id_Entity,Code,Year,ElectricityFromFossilFuels(TWh),ElectricityFromNuclear(TWh),ElectricityFromRenewables(TWh),Outlier_ElectricityFromFossilFuels(TWh),Outlier_ElectricityFromNuclear(TWh),Outlier_ElectricityFromRenewables(TWh)
47,1,Sin Informacion,2011,554.3876953125,12.902000427246094,117.59786987304688,0,0,0
48,1,Sin Informacion,2012,587.15966796875,12.96743392944336,118.77762603759766,0,0,0
49,1,Sin Informacion,2013,601.318603515625,14.105998039245604,126.46666717529295,0,0,0
50,1,Sin Informacion,2014,615.878662109375,13.793999671936035,136.50831604003906,0,0,0
51,1,Sin Informacion,2015,634.6993408203125,12.237000465393066,139.75376892089844,0,0,0
52,1,Sin Informacion,2016,640.21240234375,15.026000022888184,141.2186737060547,0,0,0
53,1,Sin Informacion,2017,654.2017211914062,14.192999839782717,154.19859313964844,0,0,0
54,1,Sin Informacion,2018,665.32177734375,11.579999923706056,167.59559631347656,0,0,0
55,1,Sin Informacion,2019,668.6891479492188,13.595999717712402,179.90650939941406,0,0,0
56,1,Sin Informacion,2020,643.5247192382812,13.94947338104248,191.80120849609372,0,0,0
57,1,Sin Informacion,2021,679.1582641601562,10.42421054840088,202.376220703125,0,0,0
58,2,Sin Informacion,1985,201.7364196777344,5.315000057220459,49.71868515014648,1,1,1
59,2,Sin Informacion,1986,207.61138916015625,8.803000450134277,51.80437469482422,1,1,1
60,2,Sin Informacion,1987,222.4950714111328,6.166999816894531,49.71446228027344,1,1,1
61,2,Sin Informacion,1988,229.07110595703125,10.493000030517578,54.21945571899414,1,0,1
62,2,Sin Informacion,1989,237.48751831054688,11.098999977111816,56.89321517944336,1,0,1
63,2,Sin Informacion,1990,250.3261566162109,8.449000358581543,58.0506591796875,0,1,1
64,2,Sin Informacion,1991,252.48410034179688,9.144000053405762,61.4634895324707,0,1,1
65,2,Sin Informacion,1992,258.5945129394531,9.288000106811523,58.70254135131836,0,1,1
66,2,Sin Informacion,1993,272.8959350585937,7.255000114440918,57.6222038269043,0,1,1
67,2,Sin Informacion,1994,281.7197265625,9.696999549865724,58.43645095825195,0,1,1
68,2,Sin Informacion,1995,289.38201904296875,11.300999641418455,60.79387664794922,0,0,1
69,2,Sin Informacion,1996,304.6513671875,11.774999618530272,63.5816535949707,0,0,1
70,2,Sin Informacion,1997,320.464111328125,12.647000312805176,65.246337890625,0,0,1
